FileName,soft_act_labels,soft_val_labels,annotators
01_DR-100_0097_1_sentence_1.wav,"[3, 4, 2, 4, 1, 2, 2, 1, 4]","[6, 7, 5, 6, 5, 6, 6, 5, 6]","['ABS83QIWSMZ9', 'A2I960JYUZ8KAV', 'A1FP3SH704X01V', 'A2JP9IKRHNLRPI', 'A1Y0Y6U906ABT5', 'A1PUHCEBSOWETV', 'ANV8C2DATCAPB', 'A3KCUB6P3IE8NL', 'self_report_01']"
01_DR-100_0097_1_sentence_2.wav,"[5, 5, 1, 2, 4, 2, 5, 1, 4]","[6, 7, 6, 6, 7, 5, 8, 7, 6]","['ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'A2FFNO6G4FEE2N', 'ALQPGVQZEZSUE', 'A1FP3SH704X01V', 'A2I960JYUZ8KAV', 'A1NIO3JNX5QTN8', 'self_report_01']"
01_DR-100_0097_1_sentence_3.wav,"[6, 1, 5, 5, 3, 3, 2, 1, 4]","[7, 6, 8, 7, 6, 7, 6, 8, 6]","['A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'A2FFNO6G4FEE2N', 'ALQPGVQZEZSUE', 'A1FP3SH704X01V', 'A1NIO3JNX5QTN8', 'self_report_01']"
01_DR-100_0097_1_sentence_4.wav,"[3, 3, 5, 3, 1, 4, 2, 3, 4]","[4, 4, 3, 4, 4, 7, 7, 4, 6]","['ABS83QIWSMZ9', 'A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'A1Y0Y6U906ABT5', 'A3KCUB6P3IE8NL', 'A1PUHCEBSOWETV', 'ANV8C2DATCAPB', 'A1FP3SH704X01V', 'self_report_01']"
01_DR-100_0097_1_sentence_5.wav,"[4, 1, 4, 4, 2, 1, 2, 3, 4]","[6, 5, 6, 5, 5, 6, 3, 7, 6]","['A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'A2I960JYUZ8KAV', 'A1FP3SH704X01V', 'A1NIO3JNX5QTN8', 'ASTDBTVY3WP1K', 'A1Y0Y6U906ABT5', 'self_report_01']"
01_DR-100_0097_1_sentence_6.wav,"[3, 5, 2, 4, 3, 3, 3, 2, 4]","[5, 3, 5, 4, 6, 4, 4, 4, 6]","['A2I960JYUZ8KAV', 'A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'ANV8C2DATCAPB', 'ALQPGVQZEZSUE', 'A1PUHCEBSOWETV', 'A2FFNO6G4FEE2N', 'self_report_01']"
01_DR-100_0097_1_sentence_7.wav,"[2, 1, 3, 3, 3, 2, 1, 2, 4]","[4, 4, 4, 4, 5, 3, 5, 4, 6]","['A2FFNO6G4FEE2N', 'A3KCUB6P3IE8NL', 'ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ALQPGVQZEZSUE', 'A1PUHCEBSOWETV', 'A1FP3SH704X01V', 'self_report_01']"
01_DR-100_0097_3_sentence_1.wav,"[4, 5, 4, 2, 2, 2, 2, 1, 7]","[4, 7, 3, 5, 4, 4, 6, 4, 8]","['A2JP9IKRHNLRPI', 'A2I960JYUZ8KAV', 'ABS83QIWSMZ9', 'ASTDBTVY3WP1K', 'A1FP3SH704X01V', 'A1Y0Y6U906ABT5', 'A1PUHCEBSOWETV', 'A3KCUB6P3IE8NL', 'self_report_01']"
01_DR-100_0097_3_sentence_10.wav,"[3, 5, 3, 2, 4, 2, 4, 1, 7]","[5, 2, 6, 4, 4, 4, 6, 3, 8]","['ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A2FFNO6G4FEE2N', 'A1FP3SH704X01V', 'ASTDBTVY3WP1K', 'A3KCUB6P3IE8NL', 'A2I960JYUZ8KAV', 'A1NIO3JNX5QTN8', 'self_report_01']"
01_DR-100_0097_3_sentence_2.wav,"[3, 5, 1, 4, 4, 2, 1, 2, 7]","[5, 5, 5, 5, 5, 6, 5, 5, 8]","['ABS83QIWSMZ9', 'A2JP9IKRHNLRPI', 'A3KCUB6P3IE8NL', 'ALQPGVQZEZSUE', 'A2I960JYUZ8KAV', 'A2FFNO6G4FEE2N', 'A1FP3SH704X01V', 'ASTDBTVY3WP1K', 'self_report_01']"
