,Dataset,FileName,AudioLength
0,MSP-Podcast,MSP-PODCAST_0001_0028.wav,4.228875
1,MSP-Podcast,MSP-PODCAST_0001_0049.wav,4.8669375
2,MSP-Podcast,MSP-PODCAST_0001_0066.wav,5.9241875
3,MSP-Podcast,MSP-PODCAST_0001_0087.wav,6.501625
4,MSP-Podcast,MSP-PODCAST_0001_0108.wav,2.9434375
5,MSP-Podcast,MSP-PODCAST_0001_0141.wav,6.63925
6,MSP-Podcast,MSP-PODCAST_0001_0144.wav,5.558875
7,MSP-Podcast,MSP-PODCAST_0002_0021.wav,2.816
8,MSP-Podcast,MSP-PODCAST_0002_0049.wav,4.864
9,MSP-Podcast,MSP-PODCAST_0002_0075.wav,5.76
10,MSP-Podcast,MSP-PODCAST_0003_0038.wav,5.6135
11,MSP-Podcast,MSP-PODCAST_0003_0045.wav,3.130625
12,MSP-Podcast,MSP-PODCAST_0003_0052.wav,7.59475
13,MSP-Podcast,MSP-PODCAST_0003_0066.wav,8.481875
14,MSP-Podcast,MSP-PODCAST_0003_0081.wav,9.5151875
15,MSP-Podcast,MSP-PODCAST_0003_0084.wav,5.48
16,MSP-Podcast,MSP-PODCAST_0003_0085.wav,7.5466875
17,MSP-Podcast,MSP-PODCAST_0003_0086.wav,2.930125
18,MSP-Podcast,MSP-PODCAST_0003_0091.wav,9.623125
19,MSP-Podcast,MSP-PODCAST_0003_0106.wav,7.6684375
20,MSP-Podcast,MSP-PODCAST_0003_0113.wav,3.547
21,MSP-Podcast,MSP-PODCAST_0003_0114.wav,4.749
22,MSP-Podcast,MSP-PODCAST_0003_0115.wav,3.71
23,MSP-Podcast,MSP-PODCAST_0003_0126.wav,6.53675
24,MSP-Podcast,MSP-PODCAST_0003_0127.wav,9.4534375
25,MSP-Podcast,MSP-PODCAST_0003_0129.wav,5.0858125
26,MSP-Podcast,MSP-PODCAST_0003_0190.wav,6.59125
27,MSP-Podcast,MSP-PODCAST_0003_0195.wav,4.6918125
28,MSP-Podcast,MSP-PODCAST_0003_0223.wav,8.43425
29,MSP-Podcast,MSP-PODCAST_0003_0251.wav,8.0729375
30,MSP-Podcast,MSP-PODCAST_0003_0256.wav,3.0843125
31,MSP-Podcast,MSP-PODCAST_0003_0283.wav,8.0346875
32,MSP-Podcast,MSP-PODCAST_0003_0285.wav,8.1580625
33,MSP-Podcast,MSP-PODCAST_0003_0296.wav,8.4048125
34,MSP-Podcast,MSP-PODCAST_0003_0303.wav,8.2814375
